pop_num,upd,entropy
0,-1,247.633054
0,0,240.180820
0,1000,236.851303
0,2000,230.327835
0,3000,229.719195
0,4000,226.344719
0,5000,224.926206
1,-1,242.537533
1,0,233.061162
1,1000,236.331025
1,2000,236.790474
1,3000,235.342196
1,4000,227.332815
1,5000,230.213218
2,-1,220.446621
2,0,214.453545
2,1000,206.973345
2,2000,198.379541
2,3000,204.030263
2,4000,210.644320
2,5000,215.069690
3,-1,206.624161
3,0,200.982842
3,1000,212.464091
3,2000,214.851200
3,3000,217.808924
3,4000,227.295607
3,5000,230.338383
4,-1,246.020516
4,0,235.670408
4,1000,235.308540
4,2000,225.086843
4,3000,228.579552
4,4000,230.192363
4,5000,228.676966
5,-1,245.635387
5,0,241.254976
5,1000,237.344492
5,2000,234.510397
5,3000,223.726753
5,4000,221.940347
5,5000,223.717700
6,-1,243.987840
6,0,237.635108
6,1000,236.428617
6,2000,232.191327
6,3000,223.085478
6,4000,225.105053
6,5000,219.011234
7,-1,219.101470
7,0,213.157437
7,1000,212.603991
7,2000,210.858179
7,3000,206.838304
7,4000,211.537626
7,5000,207.354257
8,-1,279.126825
8,0,267.764560
8,1000,259.150268
8,2000,245.458950
8,3000,245.293337
8,4000,236.599979
8,5000,238.499947
9,-1,248.092049
9,0,239.945244
9,1000,240.578157
9,2000,228.939410
9,3000,227.293030
9,4000,230.703164
9,5000,238.330479
10,-1,233.400753
10,0,226.548408
10,1000,233.071212
10,2000,221.874348
10,3000,223.178302
10,4000,217.762810
10,5000,212.897850
11,-1,256.069597
11,0,248.494737
11,1000,244.247832
11,2000,228.934712
11,3000,232.132212
11,4000,235.033231
11,5000,231.572639
12,-1,240.838427
12,0,236.604388
12,1000,236.530742
12,2000,223.162024
12,3000,217.138129
12,4000,213.875239
12,5000,216.647210
13,-1,241.745920
13,0,229.422050
13,1000,229.969685
13,2000,217.997866
13,3000,212.289884
13,4000,203.344917
13,5000,209.380134
14,-1,239.532617
14,0,232.294985
14,1000,240.019456
14,2000,232.775109
14,3000,229.223690
14,4000,228.264739
14,5000,223.898435
15,-1,239.538526
15,0,230.970514
15,1000,227.297452
15,2000,220.540276
15,3000,217.241124
15,4000,214.987660
15,5000,207.354035
16,-1,244.293344
16,0,237.579375
16,1000,236.213436
16,2000,233.508861
16,3000,230.205645
16,4000,228.602308
16,5000,221.682221
17,-1,250.646413
17,0,242.724397
17,1000,242.894949
17,2000,238.797145
17,3000,230.198590
17,4000,233.779418
17,5000,235.267213
18,-1,236.311571
18,0,230.514603
18,1000,223.626539
18,2000,219.128356
18,3000,219.460379
18,4000,217.680432
18,5000,223.252474
19,-1,250.321799
19,0,244.801668
19,1000,241.834296
19,2000,231.872286
19,3000,229.108762
19,4000,232.340943
19,5000,227.744097
20,-1,238.351233
20,0,229.588483
20,1000,228.210442
20,2000,225.498712
20,3000,216.969296
20,4000,213.245652
20,5000,219.713218
21,-1,229.344597
21,0,221.006166
21,1000,219.933799
21,2000,210.953650
21,3000,208.846868
21,4000,208.172343
21,5000,205.816845
22,-1,242.421240
22,0,231.530689
22,1000,226.964555
22,2000,216.386313
22,3000,220.697815
22,4000,218.081497
22,5000,221.703165
23,-1,227.760444
23,0,223.498200
23,1000,233.291883
23,2000,234.311704
23,3000,235.654924
23,4000,235.030381
23,5000,239.100388
24,-1,228.376263
24,0,219.776152
24,1000,214.871709
24,2000,204.572418
24,3000,202.195972
24,4000,207.305990
24,5000,213.065767
25,-1,226.680767
25,0,219.641068
25,1000,230.289548
25,2000,237.614526
25,3000,227.082381
25,4000,228.406537
25,5000,226.842359
26,-1,229.580394
26,0,221.689901
26,1000,229.992833
26,2000,230.019994
26,3000,226.947080
26,4000,227.277360
26,5000,227.542403
27,-1,235.313879
27,0,227.629513
27,1000,228.243181
27,2000,219.643839
27,3000,221.773701
27,4000,227.615578
27,5000,224.893504
28,-1,228.492563
28,0,224.566685
28,1000,232.776440
28,2000,228.781079
28,3000,227.374095
28,4000,228.260296
28,5000,223.617555
29,-1,245.766115
29,0,235.752619
29,1000,243.093039
29,2000,242.653583
29,3000,237.436904
29,4000,237.700132
29,5000,238.579070
30,-1,218.325333
30,0,210.524640
30,1000,212.748935
30,2000,209.191991
30,3000,208.406698
30,4000,209.518395
30,5000,210.828730
31,-1,228.355085
31,0,220.929043
31,1000,232.974767
31,2000,234.387366
31,3000,236.661477
31,4000,238.128902
31,5000,234.915874
32,-1,231.081445
32,0,223.490609
32,1000,229.853368
32,2000,228.393610
32,3000,222.108503
32,4000,220.853479
32,5000,222.591081
33,-1,229.892561
33,0,222.124932
33,1000,235.348030
33,2000,233.206842
33,3000,233.922091
33,4000,231.936824
33,5000,231.703337
34,-1,225.810291
34,0,219.956803
34,1000,232.975626
34,2000,229.910379
34,3000,233.491119
34,4000,233.133102
34,5000,233.050887
35,-1,242.129017
35,0,233.491583
35,1000,245.829763
35,2000,237.423912
35,3000,248.510619
35,4000,250.369545
35,5000,248.669444
36,-1,224.313456
36,0,216.682660
36,1000,234.393106
36,2000,232.164132
36,3000,232.670502
36,4000,234.314308
36,5000,233.620994
37,-1,184.617985
37,0,182.878212
37,1000,197.767291
37,2000,203.306009
37,3000,203.544570
37,4000,202.130795
37,5000,200.841284
38,-1,242.646833
38,0,233.801356
38,1000,243.094839
38,2000,245.018425
38,3000,250.093598
38,4000,249.490939
38,5000,244.776426
39,-1,232.715652
39,0,226.827138
39,1000,237.993339
39,2000,237.781451
39,3000,230.724969
39,4000,230.508460
39,5000,235.564205
40,-1,231.948605
40,0,224.153211
40,1000,237.778182
40,2000,234.734440
40,3000,234.589431
40,4000,233.571406
40,5000,225.764618
41,-1,216.654405
41,0,209.470146
41,1000,221.723804
41,2000,221.954629
41,3000,217.106737
41,4000,223.666783
41,5000,225.708300
42,-1,196.678196
42,0,189.171223
42,1000,197.897189
42,2000,204.263155
42,3000,205.140959
42,4000,203.927466
42,5000,208.400233
43,-1,223.098674
43,0,214.223368
43,1000,222.948409
43,2000,214.044452
43,3000,215.159965
43,4000,217.551083
43,5000,223.864381
44,-1,253.105284
44,0,245.055984
44,1000,245.413989
44,2000,246.879386
44,3000,240.357779
44,4000,236.301609
44,5000,245.923945
45,-1,221.279910
45,0,212.970348
45,1000,221.581396
45,2000,213.742474
45,3000,215.068579
45,4000,215.266062
45,5000,218.563855
46,-1,232.646852
46,0,222.696426
46,1000,232.060803
46,2000,230.460678
46,3000,226.179178
46,4000,224.908778
46,5000,228.886999
47,-1,226.004539
47,0,217.924906
47,1000,231.295238
47,2000,230.767328
47,3000,233.403976
47,4000,232.589865
47,5000,232.625364
48,-1,248.040378
48,0,238.318951
48,1000,255.229600
48,2000,259.309296
48,3000,254.506039
48,4000,252.439327
48,5000,253.693513
