genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wzcagcoGkdEtyzBfbvoLwqhyycuyucKnvLxEufciatafbBobvjvoErBpurjByBBBDvEBBBEoqDxpBDaGFpyjdssryvuaByBBKJexDubyByaqdporvazaxgab",115.000000,0,1,0,34,0,153,0,0,0
"wzcagcqGAulsubIcHjGzBfByycuAoJaurBIFvBBnauyejIaveiBJoDmeqFeLyxntcIKbpBBFFdxEFaBBBbpmKvsbducByEBBpvBbBtnFyvpqBsBvvAvBxgab",114.000000,0,15,0,60,75,0,0,30,174
"wujagcznFvKcbtvGyroyttpmmkkLyIuGatDmvxJycIxtbjppmCdwJzafBcpAoiFxmFmztylzycucBrucKBBBBBBbvBBfbsBBBDeyvBBKLBBBEyuBvDcexgro",115.000000,0,0,0,73,645,0,0,0,0
"wzcagcyirLzJqGHzBupyBBBLycuopcuCxomakopFpsoftBFxkypyFbDtrtwyEspcABqGtfsrvBLdadBuBduBvBpKzBBBFvtBJvFBBnoeBuvBBemyvvvBDgab",115.000000,0,15,0,0,0,0,0,0,0
"wqjagcJltHvDCkvmzkyEnyryycALoduAatctauoedJcijIIjatlsixpjtBFDsBjIEKoGoGkaAunJJsjCifGtErJqdnazaAEaqwEprpuBrmbBoBBBvBzaxgwC",117.000000,0,0,0,0,0,0,0,0,0
"wojagcBqEEakqClkipxJvqwliCvzBxqLvBfyDvBqqecqxrGuucyEuEupcrBtnByupoBLbvxuLwdBkurBBBDBBDyBvBBBBBgncoeLgKkjccCBdiuwLepIrcxD",95.000000,0,0,0,0,145,0,435,0,0
"wajagcyhmtGjtkwvCEkzlulyycuIurKuoecmIEkacJJJyydDEEvavtvDbEnbeIdFrocxpuBrGkBBoBfnDBIlBBBvBtsKBKfBlBBBBsBdBxpdvdBbvBovxgfd",117.000000,0,0,0,0,17,0,320,0,0
"wojagcCGvvmGJicbHcbEKhcAEhbIeqvyrutryIutEFBctamsGscerpvBGBABBbBnbedByxBKxBwsBBDbBBEfKaBssBAAKjwBBpEBKBGjvAfpvzaovvxvHgme",120.000000,0,0,0,0,0,0,0,0,0
"wnjagceknwCzBFBJBdndverpycDuoEucAtvBBysDKEtbDuuKDrKJcEpbmsBBBuBLrBJKqyBoBBqBBBpAmBfgjuIcixKjbBxoeJvrcrEwdnLizBvvvlaDxgfG",113.000000,54,0,0,0,135,0,320,0,0
"wGjagcHDEuybruInyxucsrGwyupymjjsaqpwIEJctvtxIwJuHpJerluytoFcjzofExKgkhnAxpEJCEAnBdjHKlcEknkbpEvIprCHiJmnGLzBcGBcvBcxgIeK",115.000000,0,1,0,0,354,0,0,0,0
"wajagcbBJElzzuHaEdlzIzxyycuLyruLCBrDdBbfatFpBBnBoBavoBaytBvkpBaBaBavytoBDavngapnivHoglKlpIhpaCKbzqDygysoEeGzBGjkvFKCDBDz",76.000000,0,30,0,209,232,0,0,0,0
"wzcagcoGkdElyzBfbvwLwqhJycuyucKqvLxEufciatafbBobvjvoErBpurjByBBBDvEBBBEoqDxpBDaGFpkjdsBryvuaByBBpnexDubyByaqdporvazaxgab",116.000000,0,0,0,35,0,174,0,0,0
"wyjagcHvsCtdzrlEzurxBIfByLuKLxDicLIomyybapcuFuodwrlvprpnBuGrBBLyBBBpboBBBBBGBLqBvBBBDsfgzqltEmaBavxrEEAHkKyppkxzvHarxggt",113.000000,0,0,0,46,0,255,0,0,0
"wljagcFIycdsccKpcALDzAEGycujucFxyAvuBvadDuxryFejAeGBLwbutBqlpujmxuKkvBubdrvdytvBBBebfBBBfBIBpBoaBBBBdBBjLEFFvxBzbvvxkgkL",114.000000,30,0,0,0,60,0,239,0,0
"CwjagckuxfudCdfvJkzzpycyBdLqucEyEuJqKFcouvJLrwvdBsBbItBBBIyvmansBpouBkEyfKptvrxBoEyIwdGJAsdDobIoyvLCybxbHkbpcBdHvvkixgCG",116.000000,0,17,0,0,0,0,0,0,0
"wzcagcfcJjLrHGDaqaDqIwIzFGKsryoyculiikrAyesJAaywmsiorBFEmILxmDJBpvByIBBBxybfFuBBdpBvwxBwIwBvBbBBeseBoFoBBfJvyeuavvvvxgab",112.000000,0,0,0,0,0,269,0,0,0
"wnjagctptlzDLxFwauJFHlfIycAfbDmdtkDuaxyDeuquFcxfEmfLcJsoBmCJxrwxELnEKsuqehwuJcvpAjEoJlEbJfpEdECwDakawyqrpaDEowvzvBcyxgKF",120.000000,0,0,0,0,0,0,0,0,0
"wGjagcbwBAEbzGGHCkumsjzBycuJucFBcpBcBDBvKnBcBvsFxuaBBBucyBBBEgymjFkedqAJbikxDgeoAJJuejjccIuAADAooJsjolreqynFConcEcgotBoh",61.000000,7,0,0,409,0,464,0,0,0
"wrjagcCjLqikIHFqwjDzBIjvjlzLzBGycrAebkycKABxwFvuucxKnsaBymfDBFynvEtKcBadrbByBBBBBBxBeKJFBqvBdAFxJBBBEdbBepnuDfvBKrvGBgvb",116.000000,0,24,0,75,465,0,23,0,0
"wzjagcAnHAxuHIAlzbsEBEyJyhHopcGucyAuaBKBvmwosucBcyBDvlByBBJuLvBBKivBvkBBFpvJBfdqjELBBBBeBwjBmGEKCLqBKensKGqrcDEtvvzaxgEs",112.000000,15,0,0,15,0,0,0,0,0
