genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wpjagcJolbhmLAianLoloEHnyctrqmByEuEqpaxburnaftGyyBDLvGABkxArramLLLndkfGAowmxBaIIkAopblGrDDsLmspbxpEuJxslHtonklbzvBcxgtap,10.160000,10.090000
wBjagcBBbjBBBBnlewddBByBycuAucoyIaBvbnsKblEkFyuBjcuBddrByflBBmaEBapBKqurmfgkIsIbxxBcBppLIocknjeByjozdwxJIsDHCzvAvfcaxgab,10.280000,0.000000
wIzagcAxsKscACGnyDCqeefyycuEuvcsojCEnpryqoxynjeEEJfBtassjGxjfdzdadxzJyDypiDFAuovajsAuxyAIHzEutEupyxjqpJjzrGuGjzAzvBcxgzb,10.330000,9.930000
wBjagcIHcqixIbxAkJAlxBcyycuBJourubBmtyEvmkGkuyretcEsayllBwDGlBLAekKoauAEFplDxmsABttcBvdvakbtawluexyEirEHuGxIjcmzvBcxgapE,10.580000,10.500000
wBjagcvFhuFqoAvDIsGIlkjyycucxwbDDuvaojBeqeGqewGGxrpjGuaeyxrAysblnzuBhiuFuwelDCtCzicIakJGncuGLiBKKBcoFItenbGDxjpzvBcxgwEz,10.320000,0.000000
wBjagcfLEmsjGkJhJKkCoJLyycuoqwurmvmvccEatjEBqktxkBdaBFKyyobJvbBxDBBBssBjaAGsyvEqrtEerBBBFqqBwBBvBABBcEvBBsEyBGBzvvIvxgFv,10.350000,10.130000
wnjagcBJjBBsBdyDIBkBBfyBycuoucoyBAGvJBdcapKCkyuDaBuGjirBsuBBwmaElDpBqDurBfgkKHBBIBtGtBeJudkKuHnzCeKemsKmaadBbzvHvfcaxgab,10.330000,0.000000
wAjagcmacruduzpcFpnBLhKyycuGjFmscwoFtFeonjvGnkbBtmkDkoxGyaKpuaapflfBwcaFGAmGmtKsysrepvcqaxnuficexrbErcbndczbnlyzvBcxgLBD,10.380000,10.300000
BkJatnrfyemwHCHjacmsbmsyycuqcBeGmLegcsetxEsrBegdjEsaEjmjpfJGDykbFbjlLyfEaceeqEIsrwBpfpsfrbeBqbavravIJafqonsifsqzvBcxgajH,10.200000,10.070000
wzcagcHpyEyzAiFHjAnEiDywGoycEuubjIIIDbrKxpuBbqfEKuoGlIwFuEfwjIbpaAoECpjHDymkqGHrsGsJbwHxzLpDxJIDDDcBbcqlcokukpnzvBcxgrab,10.110000,10.110000
wzjagcuFlFuFtabsIHiEGCepuywopcourytbmoaweBKIkpbFwLsoawwBvqFDmJsdDxlAavGmEwocaxfEGkwGaBfFlweFDoasDwjBlmGGyuuaezszvBcxghsq,10.440000,10.250000
wEjagcLIKjBqikGEDrmfljlbGyycFuuBbGjEibrKJxuEckqEjusFBooGdBaBGyipaGzfnjzoElwytlsGDEIfrqtbcqcsluKAcABAvCFaAybwyCuzvBcxgsIo,10.440000,10.340000
wajagczhKhHdatczdvAforLJycuopcubBBBfgBacLJqEGdEkBzbqsEwdpteFsIbElkznmnllasBEopCAJCzLoHvaqlkjtjjmakvAvxkKbICpaImzvxBcgfls,10.390000,0.000000
wzjagcdqqvtAycpkzvxfDmGyycurEEucDBBsEABqsKmBforlKfKIKEsKKyfwxpeBtyrtcBbBBlqBfDoBJsBBfeKmkIuwpyBkIuBsBBBBBBvvpkKzvAvxvgJt,10.100000,0.000000
wujagczhBoGfJzkijxdmtyvBycuufoyBcEfrCAEkjycEptdGraezjxJcqokGrsHHuAAyctBbIqubjeAIfGCHqrEIayCizaEmDjyiDFkbsotszCoozvBcxgme,10.110000,10.020000
wpjagcrrdueoBlqutvybtodbycuAorumAjEqrJjpxtokqEdGEnkzvzrhAresqIjAKHzFrDuccirEEoKuwsfkfKiDtlzGvpHrsBcKpaucbCbwHAezvBcxgiDq,10.510000,2.890000
wzcagcwEIyyIrBbscqxGwkKtcyuuGuuBBBraHbtqyCqJzcjwAGDkBfEBClecvenxJuizhvyctEniEBszJvDzbsqilCAwafgsAanuHjbtLIGrxxvzvBcxgaab,10.610000,0.000000
BkJatnrfyelwHCHjacmsbmsyycuqcBeGmLegcsetxEsrBetdjEsaEjmjpfJGDyqbFbjlLyfEaceeqEIsrwBpfpsfrbuBqmavravIaafqonjifsqzvBcxgajH,10.250000,10.150000
wfjagcFxrAJFyJjftKfhwlByycuFyaFBsmEAboipfrotukyJBsaiweLHLeKktefJuLpqtnyAfDlebywLvLmwcbxidjFJGGfozAfDarlCCIIpqzKzvBcxgqpB,10.180000,10.060000
AzcagctzwIBFEGueadxtzyuyscuyccrbujsIEdmxACcrpmBsypwdwDBuBBBBfEBtxBBBBwBJescIJBnujpsbeicuBxLuBypJgbBBDxBoBByrysezivvvxgab,10.630000,11.160000
wnjagcoEKfhDodxfEnGzjGfqyctxpyucmkIBBpkonBupuArDLrdLCrJtazsLlElscltruFLrDdJymwffItxyGsqjsqwJcpAdqLGmfEEBdBnAeIyDzBcvxgJj,10.340000,10.310000
wzcagcoFzkmntxFGLymhrtcyquuopctxqjcmfjKJradGBjxKHpIjawvGlkpolwBuBFpKEqFuuaadGszKyyHvJBFLHFtruxaJBmwaEjKdzxBmyCzzvBcxgBab,10.540000,10.030000
wajaoJnDDwhEEBshrpoinkcFwrqwEpbgcyubwIrmqvqqyuLrudrAtktmwcJLpBontaLeaDcLGEJmsBkDxuBspsGluwiweIvjbBCIvfcbxikbEkIzvBcxgemE,10.590000,10.560000
wzcagcHvbzFvshLhlLmnwchcBcdsiucAkrlLjeGeByrruqwaryuBBrdBBDbjmEBpBdxdwonEBftaEBrsJDEHiLAEyfqDIItdEpqybDnFcuBGlCmzvocxglab,10.310000,2.600000
wJjagcsLdphLmFBIfBLkqcsyycuGKFaBsfDvmGFwrafnfrEAHDKCyDwwzcdisdfBkjqbdIDCFxeiasKmbbBkwesbecwccnufKdJIqebknkrAFrqzvBcxgawL,10.320000,10.080000
wzcagctFwzlAidybnqlBnpIBycGcufGcAeknqaqbfKbBpbDwtdjBKkujkjavFsqJFyDcEIeeosydausavmaqqGAdkmqFlkyCLlnFuEfqnIFzbGfzvBcxgsab,10.420000,10.180000
wEjagcKaGralEnuyfdfyyswzycuuakutFuxdoDvFnnDfIywKEeHEGsfaFJEnIkAyIGBvEuKBaduarjlnfmxblvAyKsflymGdpHqduvHvrnHCjGkzvBcxgplD,10.540000,10.120000
wAjagcwwGLLsrHaczytGJLryubukaoucoAyJdDxBffKCfpfoyyscpebynBomayBjsFklmppKhrAKlctcnBIABBkmBqKBBxoBqjoBeuGBIFBBBDDzvvvAxgkJ,10.620000,10.620000
wzcagcamzxBpfLJnlEjqEkDGyGttycdeDDuKvKvoeicBKHeIpBAidceoBaqrpLAIFBkuslfjayKktjjpxtEBooBvxBsejsaEBfbunrbGHtuIsEpzvBcxghab,10.140000,10.400000
wIjagcvrlDjnbJsaEivjLJjyycucEBtdLBLyIpIDABEEnmlnKDpJGGIukywanqmeBAmBBsjGjoHcwxrAFAmGkdctvDsEyvAsaqqGwsAypBuxujvzvBcxgrag,10.570000,10.220000
wujagcHxwJcqdImimKuJcjmyycuExaucvByBDJBdektptbBnBxkdLnppBswuceEyrwEJsJwLoIGrpFuqranBIpwdqsJEKrucClDjCDmcjLnExvtzvBcxgatG,10.400000,10.420000
wEjagcrIFhefdyBEmGjtpGfBpyycfuuvKxBEibrKxDuEAkdjrujFbofEyBsBGrapauBKnmbjHIKkccbKvqwGBAEvscfjimdGcqDiGawDGpKGkvczvBcxghaD,10.470000,10.210000
wzcagcvKuKLBeczawcCyKFlaycuopcuBavKqAboxrvBvwvaFswtplBBxrywcAjGDdBkywtLixrfybBFGwIwGvFsrAlBBBnBsBDjBdBkpnDurBBBzvyvvxgab,10.170000,10.160000
wajagcnrDAjsrtchbnJlkopEycGjLteEuxoasyyLvrJKjuLxvrnyrkavmscGsrfirarqqlzsbmyzIAaAojbvEsqhucoxEmzsctyCvpIuwbsmxkyzzBcvxgrJ,10.580000,0.000000
wzcagcIzBqEKeexqfrqDurErycubbrdExBpnjomjKmxjyKIFuBjcsbKcdBEGdfnaJmdrapbznkBIJElrlsjvudvzsyIfyjeemmjdplGiGrGtzhbzvBcxgCab,10.380000,10.150000
wpjagcAecBocxIjvuDyfHvAoGlowwEHkjyEpDeznyEzAnjAEycucdoyAueBDajwuorsnnBApbAuaulsKBGrwKolcfHbBKDjqAIfmfvoxilDcoeGzvBcxgwFD,10.440000,10.400000
wzcagcJEcoIucvlcACvvDqcqDkJwzBmbDEecuqnkatskflFdycucmakdyouuoEBlLruaBAJpxBuayyyeEduIatCzBcnHbqDqKbaBEsupJvnofyuDzBcvxgab,10.630000,10.290000
wBjagcGFxpnfBmvjysAqeynDxryxLtvmBAwDvibfyokzIlCsFrrjHDkfCsayjdqnLaarDawrkeBqciFGuszkdcjAwncaasnFnyJucsyusavmaaGzvBcxgKyo,10.610000,10.390000
wyjagciiaiEDGjCHaxrqxtHnyctrysByBuxBDJvLucLqBplDBEknJBqDuLfxraxpIDDEIplwBcAfsDrJBLooBuamAsodJjybcBoEeGluujBuxcCzvBcxgvqe,10.460000,10.090000
pwjagcyFohckEiJsoFitoptDDobpuwpfymBEfuonHpjuEfkGfoHnDrIBpakatdkAKmKnyEucnlqDBoywExumsaqerevzEqmipfpuDkzxjBadekpzvBcxgacE,10.110000,9.980000
