"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","h",200,0,100000,1070870,"wnjagczfAyiyiIEjwuaiqBKaycubdbujwEEodrmjqBowbBxBLuaDqfBmnwEBkBemdIBbBJpwoaucDKBBKmflqBDBBqwlGBsfBJBwDBqBBBBbdcBzvvvvxgFA",0,21.41,27,13,13,118,21.67,3
"1000k","h",500,2,100000,2645427,"wljagcEerypGshkrqjxqwyoJycuupcfvFdtarcBDBELblGuBwEcyBBGywBBBBmmvdBuvfAkEAsBByBByAkBBJBBByBvuBCwEyABpnBKvBaJBpmDzvvvvxgLf",81.1159,21.82,28,9,9,116,21.61,3
"10k","h",100,19,100000,579355,"wcjagcmHqCbDEIapycasujeEycucJDuDDcbKLoGBiwiGruxBoeBxsocnJpGxoctjbEprwBBnEBbBqBjBJBbtwftqfBBABBBBowBblmuBBxLjImkzvvvvxgyF",0,21.93,24,7,7,119,21.66,3
"8k","h",500,22,100000,2677640,"wEjawJhaIvxrGmGsxcqkxkEyycuqoGucwtpmoIKaowGaeJwyEgcbGezhbpLcaxybGnDvfwBtrpeawDdsuerBBtBlBxlBtvspmAdxeBBKDBvsBBEzvxvvvgeL",0,21.59,14,13,13,119,21.63,3
"1000k","h",500,24,100000,2760471,"wGjagcDbCecHyJaEdJJCapGyycureaumcJtruxAnoepkLAnosmBmILLkjsIlobpuyqpxfJEEksKjyrbJaajtAErBBABDBBBpBBBjBBBBBBBBBBdzvvvvxghL",125.717,21.8,24,11,11,116,21.68,3
"10k","h",500,31,100000,2081218,"wzcagcbLGlazlzpDDGEDqznyycujucJoeBmEoInwKBEyABFjcBuAEnyDBuuKrDKBGmGfcyJxjccvpucxBkABjxBDsByytjBBkLBEoBBBBBtkBomzvvvxvgab",5.48951,21.63,25,7,7,117,21.65,3
"1000k","h",200,17,100000,1057220,"wIjagcKiKBpIwCsAavAyvrEpGtBLqnrBqnxfEAEEyuoucIyyalLetBItLlymvJpBLBlpsLurtkItBBmBuBBBGfyBBBLammBxpBBBIBorBbCsBvxzvvvvxgxa",0,21.45,24,11,11,117,21.64,3
"8k","h",500,44,100000,2351660,"wujagcoyKxulzbDDkckysscLyuuwpcuAGrEEaLBpfIEBybBsaaHaLLlvvdBwJwJmGmyaysDrLLwBBbfEwvpqvdABuurujqDBlBBtBsBsBlyxyaBzvvvvxgmm",12.8593,21.94,18,11,11,118,21.94,3
"10k","h",500,45,100000,2620024,"wsjagcABsHurnmFtCckybFryyuuopcuBddDroytoxDlaceGJIxAJJJIoyyBcwJGjBsrwIlnByFbBJBLkeBapjKvfBFIKuucxafBbBBBBwBBBBBBzvvvvxgGw",44.2898,21.42,23,9,9,118,21.15,3
"8k","h",500,15,100000,2267769,"wFjagcwwGLLIrHFczytGJLryubukaoucoAyJdDxBffKCapfoyyscaebynBomayBjsFklmppKhreKcctcuBIABBkmBqKBBxoBIsobeuGBIFBBBDDzvvvvxgKJ",0,21.8,18,15,15,118,21.71,3
"1000k","h",500,24,100000,2760471,"JwjagcEwtnbbBqhfHbmlsHzyycurDBumcftaIcIKnnlKGlfreILgxdbfeiIaErqBysbEeambspAayrAejAEtbxrtAJBBBjBBBABmwBBBBBBtBBBzvvvvxgda",0.841727,21.66,20,13,13,115,21.67,3
"100k","h",100,2,100000,566802,"wzcagcpkyHqpFuHwurEEyEGmnduxufucGIwBecrwvElsbypnoBDqrkaubBvcjrkBBBJBkIBGLieHqEBfBBvfdaBBnABDyBwBooGBBBGBDyIivLbzvvvvxgab",0,21.52,23,9,9,119,21.81,3
"1000k","h",200,18,100000,939435,"owjagcHzEEthErcFzuyHuvqlwxzhyucJfuerjqyoJKrcxbuurKcoEnIqpnvvcLduJrnvyjbBsBEnwBdBoBBfBxvvBBBqBIBAdKbBBoBBBmxbzwDzvvxvvgmJ",53.6715,21.59,18,10,10,119,21.76,3
"10k","h",500,41,100000,2607477,"wsjalBygcADyEqmiqnusIyrJKAyblkLuIadajjKfBarsocKJJmyarLEyfyscefDoGsaefeBpJBALmBtDEfeLpByaEouBfrByaIBByLuBBBBABpuzvvvvxgoD",29.6691,21.67,19,19,19,116,21.57,3
"10k","h",500,11,100000,28,"wxjagcBaoEEyyrjGquDlEycyucuosdaEAaaBLEkJDLABsGFAywyscwapeerbtrdByoBEFLDjcxBsBnBoDBBDBtaxaBjBtBJbtmbBnfBycJbKkCozvvvvxgGe",0,21.73,22,10,10,117,21.55,3
"1000k","h",500,2,100000,2645427,"wIjagcEDIBqpckyoEyeiBEDoycuupcIALkLBtcuBezBmAxBomqxBBaLqjBBpBBBEBGKnByJBAlBpJBBKDBpbyBLBnBpJeykBsmywmLBjbBwDpJBzvvvvxgfi",74.6727,21.82,31,11,11,117,21.59,3
"10k","h",500,41,100000,2607477,"wGjaBAygcwABEdAJknffLyrbLeywlkDuIIuaDqaoxwrsocLuJmyarBEyBysraJxoBDGmfwtpjEyIxwBGEBeupbBajoubqrBxBGBjABfBnBItJcBzvvvvxgly",0,21.41,18,10,10,116,21.34,3
"10k","h",500,45,100000,2620024,"wzcagclIHcwhdmczleEGzycywuuopcuLCobrdydtJxCaDFAknAFBBfFjyyABGfAwIscIqtIGyfldKJBBfaBFDJkbpBqquurBsBBAIBqBlBBBqBBzvvvvxgab",36.2496,21.65,21,11,11,115,21.68,3
"1000k","h",500,24,100000,2760471,"wIjagcDjCeIHKsaEbJfnapGyycureaumcJtruxunoepkKAnosmfmILLbxLElqjpkyapxfJEEksKjyrbJaajtAErBBBBeBBBpBBBjBBBBBBBBBBdzvvvvxghJ",123.109,21.92,22,14,14,118,21.63,3
"8k","h",500,44,100000,2351660,"wujagcoeswyDJHmlddytEsckyuujpcuiqrDbfGbdkBELybtCaGKbBBBvvBpjLBBkLvynysGrJGBueBBjLwpdvwAFsurtpfBBEBdBBEBBlBeDBECzvvvvxgex",15.6728,21.7,24,16,16,119,21.59,3
"8k","h",500,15,100000,2267769,"wAjagcIscnDezbuIJqfyFFryuAufdbucJoywBeHcIbDFtAdIyyscfIeqerwwDDsykmFafpJwGnqGeetcBmfBBBBsBlpBBoiklBwBBnBlCqlkkAmzvvvvxgBA",0,21.42,19,13,13,115,21.43,3
"10k","h",500,39,100000,2706801,"wzcaIpuKLpcCBIGyknmsppxyycufJrugcABsKxfBvbdtCcvEdrspnEtuGwkmmvLvJcnExIImKsKfiAjcjAyyEqJtcGBFsBBBBBGByBBBxEBAmBczvvvvxgab",0,21.92,17,11,11,116,21.59,3
"8k","h",200,36,100000,1196597,"wzcagcycpLAecqEpDnqGfyKFycuDEGuLIorkGAypIucaBBylaBwjBBbGLjsrbABprwsujAaGbrbByBJBnBsbtBEwrrGBAAmBLBlBoEdnfsBBzbezvvvvxgab",0,21.89,19,10,10,114,21.67,3
"10k","h",500,39,100000,2706801,"wzcaGeGecsooHiKlJBkHtGmyycuxerugceLbGAJBvdBtqjvEfrwxBEoLBjfsnvevKrEEqAfsGqnwDaalEAyyDxGtcBuFBBBBlsjBBBJpwBBuBDBzvvvvxgab",0,21.78,20,13,13,117,21.63,3
"100k","h",500,40,100000,2626864,"wzcagcqkaFlywozmLsayuAbAbFFbkkydycptmjJlKxEpaDpjlbBsbbFIoKerfdddIyAuJuoyeserLmGJazwtpcBtBqBnArBBBBpBBBbqBFBBBBszvvvvxgab",23.2993,21.79,17,12,12,116,21.73,3
"10k","h",100,19,100000,579355,"wkjagcdxAnBaEFaeyrpnuAdAycucawuEemuabLGfIEIErnfBBaBbcocxdfsxsnydwEpeAqJnEcGBLwFAbwDtoBtrJBBFBBBBGBoEdBysJBBBkJrzvvvvxgpo",43,21.53,18,13,13,115,21.26,3
"8k","h",500,25,100000,2343098,"wzcagcfAcJsyJbjDczEwfkhfEybrnLaItcByEyuIquwJmqfBbsfxJBdrEnBBBtBoDuABBpBjBBLLBGBKrBbaolInDDeeLCpyfBqBsbKKBfBynzhzvvvvxgab",10.2513,21.57,24,17,17,118,21.25,3
"10k","h",500,11,100000,28,"rwjagcrcmHEeyrGxuAHaEDnyucuIoIEAGdffuEaIasfuIKBfyuyscbspfonotcllBtBdJFEBIBmBLFpBlxBBpBBpuBBdwKJLtybwqBItcHrdzLdzvvvvxguI",37.7937,21.48,15,16,16,118,21.42,3
"1000k","h",200,0,100000,1179255,"qwJaCsDGenHEaLGBJHBiKfByycuEeruGqqxEjaxBFtrkLdDKjBIEGwyBdbmpgcjyDDDtxDeFrpJsGuBbfrBBBbBBBeHoByBBEklBBBIJBBBBdKBzvvvvxgrG",0,21.45,31,14,14,120,21.34,3
"100k","h",100,19,100000,502742,"wzcagcEorlArAoAcklConybDycuopcurDqBKDALqJwDoGBuuxmranjlcqcKAfuEmonLaKleJyEmblkuyBcbItqrnDkqyswrBBBAdBBBBBBBBBBEzvvvvxgab",47.2962,21.41,22,8,8,114,21.65,3
"100k","h",100,40,100000,6,"wfjagcqtsanAmzwhadykatyxoxyveAlHHAaEGnxrHlGdxtaIEHpcDsbKurboIBwndyuducIyBBKqBBqsBIBABBqBuBABbEaeIpfBBEvBdBHpvsvzvvvvxgwp",21.3681,21.88,17,11,11,115,22.01,3
"8k","h",200,43,100000,1106167,"wljagcHlrHpCiydGBqjwlcuyycudrudyarJeKBABBcLDxojEoezyuEfsIBEmGuBrItDyAqBBsBlkDqGpmHmDepvuyBrGjBnBpGBBBBEpuBBnamBzvvvxvgAr",0,21.37,24,9,9,117,21.36,3
"1000k","h",500,24,100000,2760471,"wFjagcFmHKblImBrdkhAiAyDLcurAcJmcBtcwlDEBmBKqGGfBFeamEtdEnJpDmoEypfmukuoxIEqyrEIDcBtofrBBloBEBBBBBBpBqnBneBBBBBzvvvvxgFG",0,21.64,26,10,10,117,21.74,3
"10k","h",200,3,100000,10,"wzjagcItGGEfoadHLlKAKqdHycekyuGKmdsorEdlBBBpkBtpBlBGBBEDcBBpkBpJLDbfbplFBlByBcqkIBGnBtItBAbsEEwKpmfCGaswcDeGeewzvvvvxgab",14.0905,21.77,21,17,17,118,21.68,3
"10k","h",200,18,100000,1010497,"rwjagcHGsJBbknmawipexzbwffGiCEGLBzLyrseLxbbDqbyuKwLabmAnaFqsAwDErxBEDGLBbBjBecmqaLjBBEGbsBEBwtkBbbAqBBlBujeBBBfzvvvvxgsB",25.1852,21.39,22,14,14,117,21.66,3
"1000k","h",100,29,100000,447549,"wujagcamBwrycqqauuceHjvjyuuopcIqAwFaDonbnEDtbkvaEGBBotqBxrwGBvywbEBcBBBqwxGpdaBBBwBJEBnBtkydBmBAvBBDGfBBxKtEkBqzvvvvxgwn",61.0806,21.83,25,5,5,118,21.82,3
"8k","h",500,15,100000,2267769,"kwjagcdqFGhhLCFybfwfJLryuJuGbBucoAyKDxDBGnxFfleoyysceAmfwtopAkjwDFtxmppejrDEBBtcApBqBJBFBoDqJdbaBsIBjeaBbjBBxywzvvvvxget",24.3156,21.58,19,14,14,116,21.54,3
"100k","h",500,46,100000,2526912,"wwjagcCwnBEnuxcnKiakfBByycuopcucbtxJjjnqyKDyttbdrpvEyGJLsdFrBmpjEbwBuBtanktrEBBBovoBBtmBnJBbBBBBcBEBoBIBJFBEvBvzvvvvxgia",0,21.8,25,6,6,120,21.59,3
"10k","h",500,26,100000,10,"wzcagcGaduuIloIsfvHxEpLLoHeyDdccosujcCfIpDGyrxyumlsdIarbldeIbkbqyvKwawfctoEyEpjqBisBarvBLraABuBBBBmBmBBoEIBBwBAzvxvvvgab",0.414545,21.68,17,13,13,118,21.63,3
"1000k","h",200,20,100000,1158434,"wJjagcnxqrqexizzwHpzCKwyycuEqfalunaErmsbsLIqwErGJDDxJByoxegoEoLFyrtDryBKBbBBBEmBloBfBJBBbBtBwpsnojBlBpByBJBBBBBzvvvvxgfG",130.821,21.65,26,9,9,120,21.47,3
"100k","h",500,33,100000,2440986,"whjagcvIBlIIbakCayKJDsohycuoucJcxywaDlnyGxntrjEbDcBvymtpnxjjjoKoBemJucfEsBEaxtBBBoBBBBvDBIBvCwBqBnBBBKyEBBBbBKBzvvvvxguA",110.217,21.94,29,6,6,119,21.52,3
"8k","h",200,33,100000,952257,"wyjagcecptKHqlcaHbkycDyIouuopcEmpBAbEJuBABxuDrBKccJypJBnsLxBLuBrEbByawBBBjBoGeHBDBBEmLGGkJAwoBcupqeJuBpGCqdGJBdzvvvvxgGK",8.50883,21.54,22,11,11,117,21.58,3
"1000k","h",200,48,100000,1149205,"JwjagcaGBKGLADFFsceEhEyjLscjaeournIenLLqxdupyEauucBEJIxApejnBJEuDrekBBoLLByEtBuwByIBqAByBBBBBBfcBmBBwBBBxsnscBEzvvvvxgFb",63.1413,21.44,25,14,14,117,21.66,3
