init_genome,repl,update,evolved_genome,scf,merit,mum
wnjagczfAyiyiIEjwuaiqBKaycubdbujwEEodrmjqBowbBxBLuaDqfBmnwEBkBemdIBbBJpwoaucDKBBKmflqBDBBqwlGBsfBJBwDBqBBBBbdcBzvvvvxgFA,0,-1,wnjagczfAyiyiIEjwuaiqBKaycubdbujwEEodrmjqBowbBxBLuaDqfBmnwEBkBemdIBbBJpwoaucDKBBKmflqBDBBqwlGBsfBJBwDBqBBBBbdcBzvvvvxgFA,21.410000,114.000000,-0.012144
wljagcEerypGshkrqjxqwyoJycuupcfvFdtarcBDBELblGuBwEcyBBGywBBBBmmvdBuvfAkEAsBByBByAkBBJBBByBvuBCwEyABpnBKvBaJBpmDzvvvvxgLf,0,-1,wljagcEerypGshkrqjxqwyoJycuupcfvFdtarcBDBELblGuBwEcyBBGywBBBBmmvdBuvfAkEAsBByBByAkBBJBBByBvuBCwEyABpnBKvBaJBpmDzvvvvxgLf,21.820000,116.000000,0.009624
wcjagcmHqCbDEIapycasujeEycucJDuDDcbKLoGBiwiGruxBoeBxsocnJpGxoctjbEprwBBnEBbBqBjBJBbtwftqfBBABBBBowBblmuBBxLjImkzvvvvxgyF,0,-1,wcjagcmHqCbDEIapycasujeEycucJDuDDcbKLoGBiwiGruxBoeBxsocnJpGxoctjbEprwBBnEBbBqBjBJBbtwftqfBBABBBBowBblmuBBxLjImkzvvvvxgyF,21.930000,117.000000,0.012312
wEjawJhaIvxrGmGsxcqkxkEyycuqoGucwtpmoIKaowGaeJwyEgcbGezhbpLcaxybGnDvfwBtrpeawDdsuerBBtBlBxlBtvspmAdxeBBKDBvsBBEzvxvvvgeL,0,-1,wEjawJhaIvxrGmGsxcqkxkEyycuqoGucwtpmoIKaowGaeJwyEgcbGezhbpLcaxybGnDvfwBtrpeawDdsuerBBtBlBxlBtvspmAdxeBBKDBvsBBEzvxvvvgeL,21.590000,113.000000,-0.001853
wGjagcDbCecHyJaEdJJCapGyycureaumcJtruxAnoepkLAnosmBmILLkjsIlobpuyqpxfJEEksKjyrbJaajtAErBBABDBBBpBBBjBBBBBBBBBBdzvvvvxghL,0,-1,wGjagcDbCecHyJaEdJJCapGyycureaumcJtruxAnoepkLAnosmBmILLkjsIlobpuyqpxfJEEksKjyrbJaajtAErBBABDBBBpBBBjBBBBBBBBBBdzvvvvxghL,21.800000,115.000000,0.005505
wzcagcbLGlazlzpDDGEDqznyycujucJoeBmEoInwKBEyABFjcBuAEnyDBuuKrDKBGmGfcyJxjccvpucxBkABjxBDsByytjBBkLBEoBBBBBtkBomzvvvxvgab,0,-1,wzcagcbLGlazlzpDDGEDqznyycujucJoeBmEoInwKBEyABFjcBuAEnyDBuuKrDKBGmGfcyJxjccvpucxBkABjxBDsByytjBBkLBEoBBBBBtkBomzvvvxvgab,21.630000,116.000000,-0.000925
wIjagcKiKBpIwCsAavAyvrEpGtBLqnrBqnxfEAEEyuoucIyyalLetBItLlymvJpBLBlpsLurtkItBBmBuBBBGfyBBBLammBxpBBBIBorBbCsBvxzvvvvxgxa,0,-1,wIjagcKiKBpIwCsAavAyvrEpGtBLqnrBqnxfEAEEyuoucIyyalLetBItLlymvJpBLBlpsLurtkItBBmBuBBBGfyBBBLammBxpBBBIBorBbCsBvxzvvvvxgxa,21.450000,114.000000,-0.008858
wujagcoyKxulzbDDkckysscLyuuwpcuAGrEEaLBpfIEBybBsaaHaLLlvvdBwJwJmGmyaysDrLLwBBbfEwvpqvdABuurujqDBlBBtBsBsBlyxyaBzvvvvxgmm,0,-1,wujagcoyKxulzbDDkckysscLyuuwpcuAGrEEaLBpfIEBybBsaaHaLLlvvdBwJwJmGmyaysDrLLwBBbfEwvpqvdABuurujqDBlBBtBsBsBlyxyaBzvvvvxgmm,21.940000,116.000000,0.000000
wsjagcABsHurnmFtCckybFryyuuopcuBddDroytoxDlaceGJIxAJJJIoyyBcwJGjBsrwIlnByFbBJBLkeBapjKvfBFIKuucxafBbBBBBwBBBBBBzvvvvxgGw,0,-1,wsjagcABsHurnmFtCckybFryyuuopcuBddDroytoxDlaceGJIxAJJJIoyyBcwJGjBsrwIlnByFbBJBLkeBapjKvfBFIKuucxafBbBBBBwBBBBBBzvvvvxgGw,21.420000,117.000000,0.012605
wFjagcwwGLLIrHFczytGJLryubukaoucoAyJdDxBffKCapfoyyscaebynBomayBjsFklmppKhreKcctcuBIABBkmBqKBBxoBIsobeuGBIFBBBDDzvvvvxgKJ,0,-1,wFjagcwwGLLIrHFczytGJLryubukaoucoAyJdDxBffKCapfoyyscaebynBomayBjsFklmppKhreKcctcuBIABBkmBqKBBxoBIsobeuGBIFBBBDDzvvvvxgKJ,21.800000,114.000000,0.004128
