pop,repl,genome,scf
1,0,wzcagczwFrEjurkupzDBBFwyycufDudfcqDscrpBbmkbBBbvDqvnbbqqfBBfdBBBvofkFmFosuiBcrDbpBvBBBbsmBlbvBbBFBBBvBwBBBwlpBBvvfBwxgab,4.180000
1,0,wzcagckwFDEmpimmBzpecFnyycucDuffebBucrpBkBfbuBbvdlvnbxwqaBBfBBkBvoBDFmFosubycxfafBvBkBbuABAyvBBkFoBBvBBBBBpapBDvvfaAxgab,3.070000
1,0,wzcagcqwFDEmcimmBzpeBFnyycucDuffebBucrpBkBfbuBdvdlvnbiwqaBBfBBkBvoBDFmFosubycrfafpvBkBbsABAyvBBDFoBBvBBBBBpapBDvvfaAxgab,4.000000
1,0,wzcagcDuFlEiDpemblczBFlyycuqrudbBnatarpkbadwkBbvbcvnqfokdBBBDBbBvwBBFmBtsuebBrdxyBvBBBukBopDvBumFnFBvwBBBBqBBBBvvfgtxgab,4.000000
1,0,wzcagcDuFlEiDpemblczBFlyycudrudbBnatarpkbadwkBbvbcvnqfgkdBBBDBbBvwBBFmBcsueblrdxyBvBBBukBopDvBumFnFBvwBBBBqBBBBvvfgtxgab,0.000000
1,0,wzcagcDuFlEiDpemblczBFlyycudrudbBnatarpkfadwkBbvbcvnqfokbBDBDBbwvwBcFmBcsuevBrdxyBvBBBbtBupDvBumFnFBvBBBBBqBBBBvvfgtxgab,4.270000
1,0,wzcagcpEyitjAndAnzfFpFcyycunaudecdicdrBkbDaBBytvpBvuwcEfaDBxBBevvBxBFtdxBbABarBBBovByBbBnpBovopBFxBBvABBBuyoBBpvvfgpxkab,4.140000
1,0,wzcagcDwlksuswfkizxcbFcyycunauxecEFedrBDbxsBBxpvpBvnfctmaDBkBBemvxkBFtqBebxdarBBBuvuxBbBfBBdvoeDcyBBvABBpBykBBpvvfgagjab,3.510000
1,0,wzcagcawbktCswbkuzsFrFcyycunauBecEFeqrBDbxsBBytvpBvnfchmaDBnBBepvxuBFtqBenxdardBBuvuxBxBwBBuvocDcxBrvBBBpBykBBpvvfgpxjab,4.030000
1,0,wzcagcumsbzzcxfszfqFqFfyycuopudBDwAoBrApypfbhpqvBxvdbBlBDxqnwBeyvwkBFtbxebmAirABABvBtBbsxwBevBunFDBBvmlBtaolsaBvvfgwxtab,4.030000
1,0,wzcagcljsbzzcdfszBqFqFfyycuopudBDwAoBrApynfbhpqvBxvdbBlBDxqnwBeyvwkBFtbxebmAirABAgvBtBmsxwBevBunFDBBvmlBtattyaBvvfgBxdab,0.000000
1,0,wzcagcdunspaoxfmznBFqFfyycucAukBcwDbBrAmmBfbmpqvnBvfmndBDxdfwBeivwkBFtbAeblAtnBmDnvppBAswBkevBukFDBBvmdBtaBsskBvvfgkxcab,0.000000
1,0,wzcagcczDhpzoxfmzBAFyFfyycucAudBcwDbBrApyAfbmpovnDvdbodBbAdeiBeivwaBFtbAebqiirAfpnvptBAsfwAevBukFDBwvcdBtaBwskBvvfgixzab,4.000000
1,0,wzcagctzyspzbxfmzBBFqFfyycucAudBcwDbBrApyBfbmpovnDvdbobBbxkeFBeyvwaaFtbAebliirAlpnvptofsfwkevBukFDBwvxdBtatwskqvvfgixzab,4.010000
1,0,wzcagcdyuBBoEnCcbvsrnidyycuefubBAxBderBFBBuuqpDvEfwnBwFcBeeBwEBdvqbnauFFaeiBArlBFBvkBbBBvpwtvmBFwsbBAeulAABFpBovvBAexgab,0.000000
1,0,wzcagcdyuBBoEnrcbvsrBizyycuefubBAxBderBFBBuuqpDvEfwnBwFcBeeBwEBdvqbnauFFaeiBArlBFBvkBbBBvpwtvmBFwsbBAeulAABFpBovvBAAxgab,3.550000
1,0,wzcagcqeajmybBEudvzyCzzyycurquxaBdyaerBlmBEfqpBveccnbqFdwrBBBBBBvqBdauFFdcaBBrkBEpvleCaBvBdAvyBBBsaxBcBFqpBFCybvvcBcngab,2.720000
1,0,wjjagcoqpuimCFtkcDcbbzybycueauoBpxpccrBawBBsdpbvpdaoakFFBehbxfqnvwkbBuBxBastBrBmaBvlkBBsvBBwvmBqApBbEocBubBBbBxvvsBBggBe,4.160000
1,0,wsjagcchwhxrAuydAbcBdzyBycunauoApqyaerdDBBbsmpBvrbaobdFBBxeiBewcvBedBtbFBaDABrBFeBvtfBByvutpvaBFBmBBEnmBxsDAqDcvvAfBBglF,3.750000
1,0,wsjagccuwhxrAuydAbcBdzyBycunauoApqyaerdDBBbsmpBvubaobdFBBxeiBewcvBedBtbFbaDABrBFeBvtfBByvutpvaBFBmBBEnmBxsDAqDcvvAfBBglF,3.830000
1,0,wajagcAanhAyAyyjAdxBlzyBycuDruoBpqwaerBDBBbflpbvubaobdFBBDeDBxwuvBpBBubFnaDcArBFqBvnfBBnvmypvBBouyBBEBmBquuByDBvvtBBBgkj,2.380000
1,0,wajagcAanhxyAyyjddaBnzyBycuDauoBpqtaerBDBbbfApbvubaobdFBBDeDBxwcvBeBBubFnaDcArBFaBvnfBBnvBypvBBFuyBBEBBxquuAyDBvvtBBBgkj,4.090000
1,0,wbjagcAthhxyzwBxAdaBncyBycuDauoBpxAaerBuBBbfmpbvuyaokdFBBDerBxwcvBesBubFnaDcBrxFdBvnefBjvBtpveBFuyBBEBmBqubxqDBvvtBBtglC,0.000000
1,0,wzcagcywFkEbalxolzpBBFyyycuBduBkceawArpBdsuBapbvdbvnbfoeqBkBBbBBvBBkvmsdFuboArmdaBvDcBxFBBpBvBBBFuBBvmBBBBdBBnuvvfuyxgab,0.000000
1,0,wzcagcowFrEzurtcpzDBBFEyycufDuBfcqDscrpBkeyboBbvDcvnbbfqfxBbdBBBvoBkFmFosuiBcrDdpBvBBBbsafcDvBbBFBBBvfwBBBwfpBBvvfBwxgab,3.550000
1,0,wzcagcppsbEzcitczzpBeFxyycucDubfdbBscrpBdBfbuBbvdEcnbbAxaFBDBBBBvoBkFmFosubBcrBafBvBBBpsyBAyvBBBFoBBvBBuBBpBpBBvvqiyxgab,2.550000
1,0,wzcagcppsbEzcitczzpBeFxyycucDubfdbBscrpBdBfbuBbvdEvnbbAxaFBDBBBBvoBkFmFosubBcrBafBvBBBpsyBAyvBBBFoBBvBBuBBpBpBBvvqiyxgab,2.800000
1,0,wzcagcDuFlEiDpemblczBFlyycudrudbBnatarpkfadwkBbvbcvnqfokbBDBDBbwvwBcFmBcsaevBrdxyBvBBBbtBupDvBumFnFBvBBBBBqBBBBvvfgtxgab,4.170000
1,0,wzcagcdnFsEtBpzyElwzBFayycubEubbfuaBarpxuoltkBbvecvnbfckpBBBBBBBvwBBFpBtsuecBrdDfDvBBmkBBBbDvBumFBFBvBwBBDqBBBBvvfugxgab,4.110000
1,0,wzcagcyhryEujAznwzkFBFsyycubquFncdfiiDwkFvyqBpbvBnvnBBcwebkkBoBBBBBBFtbweawBarEpBwveBEBBqtwBvBBBBBBBvBBBbBpBbwBvvfgDixab,4.000000
1,0,wzcvgcyjFyEunwbnwzBFBFsyycubruFnciwiirukFvDxBpbvenvnBqcwebkkxobBBBBbFtbxuaDBarbBBwvwBEBuqtpBvBBBBBBBvBBBbBoBbwBvvfgfixab,0.000000
1,0,wzcagcnxqolmsiftxzBFxFByycuopuxtcwucBrbBudBubDcvtqvppBbdFEBwAdDnvladFtBBeEoBDrByqBvBBBbBpmywBuBBFdxBvBcagnBvuwcvvfgwxFab,2.780000
1,0,wzcagcyDADlcsiclAzBFBbByycuopuBtcAtcBrbBadBubDcvtqvpatpdedfbAdDnvladFtdBecDBxrByfBvBBBFBpmllBuBABBBBvBBBonBvuwBvvfgBxDab,3.500000
1,0,wzcagccDADlcsiclAzBFBFByycuopuctcAtcBrbBadBubDcvtqvpaBpdedfbAdDnvladFtdBecDBxrByfBvBBBFBpmllBuBBBBBBvBBBonBvuwBvvfgBxDab,4.090000
1,0,wzcagcyDqDlrsiclAzBFBFqyycuopuBtcAtyBrbBnbBubDcvtqvpaBpdedfbAdDnvladFtdBelDBxrByfBvBBBFBpmllBwBBBBBBvBBBonBvuwBvvfgwxDab,4.000000
1,0,wzcagcuEyitjAodAizfFpFcyycunaudicwicdrBkbDaBBytvpBvnwcEfaDBFBBevvaxBFtdxBbABarBBBdvByBbBDpBxvoBBFnBBvABBBfyxEBpvvfgrxdab,4.130000
