reduced_genome,scf
wzcagcAAAAEAAAAAAvAAAAAAAAAAAAAAAAAAAAvAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEEAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAvABzvvhaxgab,15.540000
wzcagcAAAAEAAAAAAAAvAAAAAAAAAAAAAAvEAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAvAEAAAAAAAAvAAAAAAAAAAAAAzvvdaxgab,15.540000
wzcagcAAAAEAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAEAAAAAAAvAAAEAAAAAAAAvAAAAAAAEAAABzvvoaxgab,15.540000
wzcagcAAAAEAAAvAAvAAAvAAAAAAAAAAAAAAEAAvAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAABzvvoaxgab,15.540000
wzcagcAAEAEAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAAAAAAAAAAvAAAAEAAABzvvmaxgab,14.840000
wzcagcEAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAEAAAAABzvvDaxgab,14.840000
wjzagcAAAAEAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAvAAvAvAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAEAArzvvncxgab,15.440000
wzcagcAAAEEvAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAvvAAAAAAAAAAAAAAAAAAAAAAAAAAAAvAAAAABzvvhaxgab,15.540000
wzjagcAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAvvEAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAyzvvyaxgap,14.690000
wzcagcAAAAEAAvAAAAAAAAAAAAAAAAAAAAEAAAEAAAAAAAAAAAAAAAAvAAAAAAAAAAAAvAAAAAAAAAAAAAAAAAAAAEvAAAAAAAAAAAAEAAAAAAczvvtcxgab,11.200000
