genome,scf,scf_no_int_bio
geno,0.000000,0.000000
wzcagcCryLEyjzbCBvvHastyycuopcuyyocBbvawdJvLJvuJBrBBBBoByBjABBAGaEBBxBvcArBtcBcBBBEBBBBBBBBBBmBBBBBBxBABBEAwBBBzvvcvxgab,17.980000,17.330000
wzjagcsczIEfnkvvbBwCyBbyycuAucoyyBBBvKBqAuBBfBABBIvAaBBBBuBBBBBlcAIiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb,17.970000,17.080000
wzcagcvxqqEyndaDpvsbCyodycuoucByBBBptBBBBBBBBBByBBBlbvBBBAvkBBBorbtcBecvBBBvBBEBBwEByBoBpoBoLsJsItobKBBBBKqBuEBzvJvvxgab,18.000000,17.960000
wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEGBrBBBBBBEBBBBEBBBBBzvvfaxghb,17.980000,17.700000
wzcagcwyxjEAirqaJJxAdyfuyuuopcuycEGGvjIoeducIEBBrbBfvyBBBwBBedBsBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab,17.950000,17.850000
wzcagcmtuaEBxHBIAKCwIHlyycucbAurvBBBBbcBBBBxEAvKfBBBBABBDBBByGvKddAEBjlBBBJnjBDtEpBkBoBsucBpBBrAacxyqutuCAJrovzvvfcaxgab,18.060000,0.000000
wqjagcuEojEloyvGAAvalvtyycuoebuycjAfwcAEvGDbdrbBICaBBxAyBBvjDbBbBqBBBBGBfpBEBBvuBBBucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab,17.990000,17.540000
wzzagcrAxAEpvxkmvplnGkEyycuoucBBvBBBBIBBBBBBBBvBvBBBBBBBBBBsBBBBBEBBBBBBBBBmBBfBBBEpByBpBBBdBBlBBBwBKkBABuBuvAyzvvvJxgab,17.950000,17.050000
wzcagcbvamEvcpEfvjLbIqdyycuopcucBIxBAEBDyBIjbeBDocbwBDLekAqBbJBytrBLBBBLvBwyBIBBAAABvEBsBBqJrBBBBBdfyyBpnBbBvtyzvvvaxgab,18.010000,17.920000
wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwpBBnBdBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxghb,17.980000,17.700000
wzcagcDnjvEBlzmAAKflnKfyycuopcucyByBIJtobyBBBBEtcAmwfyDBypBEBABBBEvlDLkscBDBwByxuBBBsddABqmIuBryBbamJecfwJdmBozvvfcaxgab,18.020000,18.050000
