"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","l",500,41,100000,2711582,"wzcagccjxdEywaDynomAwqeKycurucqEBufBbyufjBmpBawGjyuBoBBAfBaBuABErxByEnLDBJfBBBAcJBBAdcBBBeuBdDBLBsccBBBBBBBBBsBzvvvvxgab",8.84966,21.43,36,12,12,115,21.2,4
"10k","l",500,43,100000,1851396,"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuouBqBrBBABBAjABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",19.694,21.48,32,3,3,111,20.94,4
"10k","l",500,43,100000,1851396,"wzzagcaBDAEAKyklfDpickcnycuopjoyBeABaecGKDBuyABfAjaouquBqBrGBAcBplABBtpBEBBpqempEBIBeoJBuBItowryBlBDEprByBBBBBBzvvvvxgtb",3.49031,21.47,31,8,8,113,21.45,4
"10k","l",500,43,100000,1851396,"wzzagcaaDAEKKyklfDprckcnycuopcoyBeABGocfBABuyABfAjaJuquBqorGBABBpxABBtpBEBBpKempEBIBeoJBuBItowryBBBDEprByBBBBBBzvvvvxgtb",16.8805,21.38,31,9,9,113,21.34,4
"1000k","l",200,33,100000,849326,"wzcagcGtlbEvyCBuEvJAKotyycuqDcuycowAAEAAqGxCrBBBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvhcvvfcaxgab",0,21.34,40,2,2,112,21.23,4
"10k","l",500,41,100000,2711582,"wzcagccjxdEywDDynozAxbeKycurucBEuufBbyBGjBtBBdwulyuBoBBAABaBuABErxByEnLDBBfBBBAcJBBIGcBBBeuBdDBjBsccBBBBBBBBBoBzvvvvxgab",15.7761,21.36,40,9,9,115,21.34,4
"100k","l",500,41,100000,2822245,"wzcagcjCAuEEoBkkBEdAqpByycuopcuccBLBBeyLBydtyBBBBaABBtBrBBpBBABsBBABBycdccCjrKABaAAfyCIBBaCBBABByBJBBBDBBBBBBEBzvvvvxgab",38.231,21.43,46,8,8,111,21.31,4
"100k","l",500,41,100000,2822245,"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBwABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",51.9066,21.41,47,6,6,111,21.48,4
"8k","l",500,37,100000,2397459,"wxzagciAkoEDnraEraExAwyfycuofruyaeBwEBoBBrJAcBpAxcwBBjBdiJnardFDuAAcABxucfAqBBBuaruuytBBnwwBaiDrBBBBJpBBurBBBBBzvvvvxggb",0,21.46,29,6,6,112,21.68,4
"10k","l",200,19,100000,1072622,"wzcagcjrzrEescjaatkHawfyycubrBucBBbcIojuyDqBswBqcEAyoBBuBBBBBBBBBJqJurnwEBBAmBwBBxBkjBBBEGxpBjBksBBGfbqjIuBaBBazvvvvxgab",27.8926,21.47,33,3,3,118,21.52,4
"8k","l",500,37,100000,2397459,"wyzagctaKzEhotaEDpEItDyJycuoLruyaJBGEBoBdrmAcBpAxccxBBBKvxBardnIqAxGroxucBBqBBBdaruuytBBnGxBaxxrBBBGtpBBuGBBBBBzvvvvxgub",0,21.44,28,6,6,117,21.35,4
"10k","l",500,32,100000,2338699,"whjagcebyjEbqmyaIkkzwpnAycuopcGytGAwBEwtuqqcfpsjryALsBuAeuKorAwuADdBBBaBBJBAByByBpBEBuBrBBByBtBBBEBBBBBqGyBJBLBzvvvvxgab",17.0367,21.48,30,7,7,113,21.29,4
