genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"geno",4.000000,0,0,0,0,0,0,0,0,0
"wzcagccjxdEywaDynomAwqeKycurucqEBufBbyufjBmpBawGjyuBoBBAfBaBuABErxByEnLDBJfBBBAcJBBAdcBBBeuBdDBLBsccBBBBBBBBBsBzvvvvxgab",117.000000,1,1,0,9,13,10,0,0,0
"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuouBqBrBBABBAjABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",116.000000,8,0,0,0,13,0,11,0,0
"wzzagcaBDAEAKyklfDpickcnycuopjoyBeABaecGKDBuyABfAjaouquBqBrGBAcBplABBtpBEBBpqempEBIBeoJBuBItowryBlBDEprByBBBBBBzvvvvxgtb",112.000000,1,1,0,12,0,10,0,0,0
"wzzagcaaDAEKKyklfDprckcnycuopcoyBeABGocfBABuyABfAjaJuquBqorGBABBpxABBtpBEBBpKempEBIBeoJBuBItowryBBBDEprByBBBBBBzvvvvxgtb",115.000000,7,0,0,1,13,0,11,0,0
"wzcagcGtlbEvyCBuEvJAKotyycuqDcuycowAAEAAqGxCrBBBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvhcvvfcaxgab",116.000000,0,0,0,18,0,0,15,0,0
"wzcagccjxdEywDDynozAxbeKycurucBEuufBbyBGjBtBBdwulyuBoBBAABaBuABErxByEnLDBBfBBBAcJBBIGcBBBeuBdDBjBsccBBBBBBBBBoBzvvvvxgab",117.000000,12,0,0,1,14,10,0,0,0
"wzcagcjCAuEEoBkkBEdAqpByycuopcuccBLBBeyLBydtyBBBBaABBtBrBBpBBABsBBABBycdccCjrKABaAAfyCIBBaCBBABByBJBBBDBBBBBBEBzvvvvxgab",117.000000,0,1,10,0,0,27,0,0,0
"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBwABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",118.000000,0,1,26,0,0,12,0,0,0
"wxzagciAkoEDnraEraExAwyfycuofruyaeBwEBoBBrJAcBpAxcwBBjBdiJnardFDuAAcABxucfAqBBBuaruuytBBnwwBaiDrBBBBJpBBurBBBBBzvvvvxggb",116.000000,0,4,0,5,0,2,0,0,0
"wzcagcjrzrEescjaatkHawfyycubrBucBBbcIojuyDqBswBqcEAyoBBuBBBBBBBBBJqJurnwEBBAmBwBBxBkjBBBEGxpBjBksBBGfbqjIuBaBBazvvvvxgab",116.000000,0,2,0,15,14,0,2,0,0
"wyzagctaKzEhotaEDpEItDyJycuoLruyaJBGEBoBdrmAcBpAxccxBBBKvxBardnIqAxGroxucBBqBBBdaruuytBBnGxBaxxrBBBGtpBBuGBBBBBzvvvvxgub",114.000000,0,3,0,7,11,6,0,0,0
"whjagcebyjEbqmyaIkkzwpnAycuopcGytGAwBEwtuqqcfpsjryALsBuAeuKorAwuADdBBBaBBJBAByByBpBEBuBrBBByBtBBBEBBBBBqGyBJBLBzvvvvxgab",116.000000,4,0,1,12,2,15,0,0,0
"wzcagcmqGCExuKCiGuAuxdbyycuopcuyByuyxxIEEKwBKBBbajEBBjbDyauBBAryuBBoucBsBBBBBtbBuBABBIBBBlayBBeBBBBdBlBBriibDyIzvvvvxgab",117.000000,0,9,1,4,23,0,0,0,0
"wpjagcubsxEqsBbnBmdmwlnxycuopcBuBBAdAEfkasGoqduknyxcuBuwfjborBDudcfBBBxBBbBuBwAwxpBEBuBrBbqBBLBBBEBBBBBBBbBBBuBzvvvvxgJG",118.000000,4,0,0,0,11,0,17,0,0
"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqyGBABaxIBfADaJuquBqBrBBABBAjABBypBEBGAJBkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",116.000000,8,0,0,0,14,0,11,0,0
"wzcagcGBbAEECBDkaEnAAAByycuopcucJBoBwdylByBeyBBBBBAABtBrBBBBBBBsBBABBycrJcCIbABBaqyycfoKekCBBAaBBBABByKBBBBABEBzvvvvxgab",116.000000,0,1,11,0,0,12,0,0,0
"wzcagcDbrBEItpBItKBADieyycuopcuroBByJkfBABptnybABbtAEBoytryEAnAEBGlBByejdBpscBpBBBwBBtBoeBLDBbBnrBdyBBBBBmoBBBIzvvvvxgab",118.000000,0,1,7,0,0,5,0,11,9
"wzcagclJwAEmmrCytwndGEJyycuowAurBBBBtBBBBBurBEjaoBrABBbBBABBABBBpynBytrBfyeGswpIsBrEBnuBBBBBBBBBBBBBBrBBBBBBBBbzvvvvxgab",118.000000,0,0,0,21,0,0,0,15,8
