res,mut,pop,p0,p1,p2,p3,p4
8k,l,100,0.013468,0.259259,0.054994,0.008979,0.010101
10k,l,100,0.025172,0.306636,0.056064,0.000000,0.019451
100k,l,100,0.038557,0.271144,0.047264,0.012438,0.008706
1000k,l,100,0.029233,0.191230,0.037759,0.006090,0.000000
8k,l,200,0.015544,0.330455,0.058146,0.006333,0.021301
10k,l,200,0.023402,0.299658,0.061073,0.013699,0.029680
100k,l,200,0.013470,0.255933,0.080821,0.025657,0.019243
1000k,l,200,0.008604,0.148908,0.109199,0.062872,0.037062
8k,l,500,0.041648,0.293103,0.074116,0.023287,0.014107
10k,l,500,0.017559,0.278506,0.028228,0.032007,0.041565
100k,l,500,0.036098,0.092678,0.182540,0.060420,0.018177
1000k,l,500,0.005788,0.069455,0.130492,0.142857,0.000526
8k,h,100,0.107527,0.083564,0.058679,0.145929,
10k,h,100,0.086223,0.069040,0.209573,0.067199,
100k,h,100,0.072803,0.092304,0.121165,0.108944,
1000k,h,100,0.068361,0.069792,0.214030,0.033286,
8k,h,200,0.152969,0.084349,0.100865,0.060362,
10k,h,200,0.121306,0.124914,0.111340,0.091753,
100k,h,200,0.105201,0.134432,0.166893,0.068831,
1000k,h,200,0.075699,0.085490,0.087413,0.183392,
8k,h,500,0.143306,0.208931,0.076753,0.076753,
10k,h,500,0.100659,0.157472,0.082887,0.109236,
100k,h,500,0.130966,0.206282,0.020485,0.110413,
1000k,h,500,0.111848,0.222781,0.017905,0.098286,
