res_ab,pop,mut,repl,upd,dominant_scf,peak_by_dominant,entropy
8k,100,h,0,100000,3.150000,0,94.571204
8k,100,h,1,100000,8.720000,-1,118.407019
8k,100,h,2,100000,12.870000,-1,90.627984
8k,100,h,3,100000,4.770000,0,145.577662
8k,100,h,4,100000,11.680000,-1,84.038654
8k,100,h,5,100000,12.280000,-1,69.406528
8k,100,h,6,100000,21.410000,3,90.557256
8k,100,h,7,100000,5.770000,-1,151.307568
8k,100,h,8,100000,22.240000,3,177.602766
8k,100,h,9,100000,5.720000,-1,122.339122
8k,100,h,10,100000,21.890000,3,74.899565
8k,100,h,11,100000,10.500000,1,134.753755
8k,100,h,12,100000,22.770000,3,68.803931
8k,100,h,13,100000,7.460000,-1,121.350566
8k,100,h,14,100000,8.880000,-1,126.593142
8k,100,h,15,100000,7.500000,-1,117.567652
8k,100,h,16,100000,21.270000,3,84.362871
8k,100,h,17,100000,10.690000,1,137.424185
8k,100,h,18,100000,2.340000,-1,106.603713
8k,100,h,19,100000,20.200000,-1,78.607187
8k,100,h,20,100000,20.870000,3,75.321414
8k,100,h,21,100000,17.960000,2,90.128042
8k,100,h,22,100000,0.000000,-1,197.571988
8k,100,h,23,100000,22.360000,3,84.671753
8k,100,h,24,100000,5.820000,-1,102.868554
8k,100,h,25,100000,3.280000,0,87.640143
8k,100,h,26,100000,2.580000,-1,112.689106
8k,100,h,27,100000,2.650000,0,99.644654
8k,100,h,28,100000,5.850000,-1,144.825667
8k,100,h,29,100000,22.690000,3,74.593212
8k,100,h,30,100000,17.320000,2,79.597605
8k,100,h,31,100000,21.780000,3,91.154234
8k,100,h,32,100000,17.680000,2,93.661902
8k,100,h,34,100000,3.350000,0,47.034669
8k,100,h,35,100000,13.590000,-1,94.562252
8k,100,h,37,100000,8.530000,-1,121.302228
8k,100,h,38,100000,2.860000,0,97.664210
8k,100,h,39,100000,18.200000,2,84.962441
8k,100,h,40,100000,18.120000,2,103.119514
8k,100,h,41,100000,8.710000,-1,140.420096
8k,100,h,42,100000,13.400000,-1,81.207048
8k,100,h,43,100000,21.450000,3,74.488681
8k,100,h,44,100000,20.500000,-1,96.227219
8k,100,h,45,100000,14.870000,-1,106.781794
8k,100,h,46,100000,13.100000,-1,77.677966
8k,100,h,47,100000,1.550000,-1,100.129202
8k,100,h,48,100000,21.490000,3,88.815294
10k,100,h,0,100000,18.360000,2,84.155985
10k,100,h,1,100000,3.910000,0,96.160368
10k,100,h,2,100000,14.980000,-1,73.575074
10k,100,h,3,100000,20.990000,3,119.274847
10k,100,h,4,100000,17.840000,2,91.134410
10k,100,h,5,100000,18.030000,2,86.477171
10k,100,h,6,100000,18.470000,2,99.921982
10k,100,h,7,100000,5.790000,-1,60.363588
10k,100,h,8,100000,20.130000,-1,145.258546
